AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing,
"Western Australia (STATE 5) ,  2532422.2 sq. Kms",
,
B33 SELECTED AVERAGES(a),
,
,
Median age(b),34
Median monthly housing loan repayments,$800-$999
Median weekly rent ,$100-$149
Median weekly individual income,$300-$399
Median weekly family income,$800-$999
Median weekly household income,$700-$799
Mean household size,2.6
,
(a)  Refer to explanatory notes for further detail on Selected Averages.,
(b)  Excludes 'Overseas visitors'.,
